title,Genre,rating
Restoration (1995),Drama,3.625
Mortal Kombat (1995),Action|Adventure|Fantasy,2.6973684210526314
To Die For (1995),Comedy|Drama|Thriller,3.5232558139534884
How to Make an American Quilt (1995),Drama|Romance,3.1666666666666665
Seven (a.k.a. Se7en) (1995),Mystery|Thriller,4.034825870646766
Pocahontas (1995),Animation|Children|Drama|Musical|Romance,2.9262295081967213
When Night Is Falling (1995),Drama|Romance,4.0
"Usual Suspects, The (1995)",Crime|Mystery|Thriller,4.370646766169155
Mighty Aphrodite (1995),Comedy|Drama|Romance,3.6372549019607843
Lamerica (1994),Adventure|Drama,5.0
"Big Green, The (1995)",Children|Comedy,3.6666666666666665
Georgia (1995),Drama,3.3333333333333335
Home for the Holidays (1995),Drama,3.142857142857143
"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,4.0
"Confessional, The (Confessionnal, Le) (1995)",Drama|Mystery,4.0
"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,2.828125
Eye for an Eye (1996),Drama|Thriller,3.5714285714285716
Mr. Holland's Opus (1995),Drama,3.689655172413793
Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,2.8333333333333335
Two if by Sea (1996),Comedy|Romance,2.4
Bio-Dome (1996),Comedy,2.025
Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,2.0
French Twist (Gazon maudit) (1995),Comedy|Romance,3.5
Friday (1995),Comedy,3.8181818181818183
From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,3.0208333333333335
Fair Game (1995),Action,2.4285714285714284
Kicking and Screaming (1995),Comedy|Drama,3.1666666666666665
"Misérables, Les (1995)",Drama|War,4.115384615384615
Bed of Roses (1996),Drama|Romance,3.026315789473684
Screamers (1995),Action|Sci-Fi|Thriller,3.3333333333333335
Nico Icon (1995),Documentary,4.0
"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,3.2
"Juror, The (1996)",Drama|Thriller,2.9615384615384617
"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,4.625
Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,3.25
Antonia's Line (Antonia) (1995),Comedy|Drama,3.8
Once Upon a Time... When We Were Colored (1995),Drama|Romance,3.0
Last Summer in the Hamptons (1995),Comedy|Drama,4.0
Angels and Insects (1995),Drama|Romance,4.0625
White Squall (1996),Action|Adventure|Drama,3.764705882352941
Dunston Checks In (1996),Children|Comedy,1.6666666666666667
Black Sheep (1996),Comedy,2.891304347826087
Nick of Time (1995),Action|Thriller,3.4411764705882355
Mary Reilly (1996),Drama|Horror|Thriller,3.5416666666666665
Vampire in Brooklyn (1995),Comedy|Horror|Romance,2.227272727272727
Beautiful Girls (1996),Comedy|Drama|Romance,3.5681818181818183
Broken Arrow (1996),Action|Adventure|Thriller,3.1774193548387095
In the Bleak Midwinter (1995),Comedy|Drama,1.0
"Hate (Haine, La) (1995)",Crime|Drama,3.875
Shopping (1994),Action|Thriller,3.0
Heidi Fleiss: Hollywood Madam (1995),Documentary,2.75
City Hall (1996),Drama|Thriller,3.4285714285714284
Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,3.8823529411764706
Mr. Wrong (1996),Comedy,2.590909090909091
Unforgettable (1996),Mystery|Sci-Fi|Thriller,4.0
Happy Gilmore (1996),Comedy,3.2925531914893615
"Bridges of Madison County, The (1995)",Drama|Romance,3.1145833333333335
Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,3.462962962962963
Catwalk (1996),Documentary,4.0
Braveheart (1995),Action|Drama|War,3.9451754385964914
Taxi Driver (1976),Crime|Drama|Thriller,4.22457627118644
Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime,3.295918367346939
Before and After (1996),Drama|Mystery,3.2
Margaret's Museum (1995),Drama,3.0
Anne Frank Remembered (1995),Documentary,4.75
"Young Poisoner's Handbook, The (1995)",Crime|Drama,3.0
If Lucy Fell (1996),Comedy|Romance,2.8
"Steal Big, Steal Little (1995)",Comedy,3.0
"Boys of St. Vincent, The (1992)",Drama,3.8
Boomerang (1992),Comedy|Romance,3.0526315789473686
Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance,4.0
"Star Maker, The (Uomo delle stelle, L') (1995)",Drama,3.0
Flirting With Disaster (1996),Comedy,3.7142857142857144
"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy,2.7
Pie in the Sky (1996),Comedy|Romance,3.0
Angela (1995),Drama,4.5
Frankie Starlight (1995),Drama|Romance,2.0
Jade (1995),Thriller,2.875
Down Periscope (1996),Comedy,3.0
Man of the Year (1995),Documentary,1.0
Up Close and Personal (1996),Drama|Romance,3.4782608695652173
"Birdcage, The (1996)",Comedy,3.5806451612903225
"Brothers McMullen, The (1995)",Comedy,3.326923076923077
Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller,3.2790697674418605
"Amazing Panda Adventure, The (1995)",Adventure|Children,4.333333333333333
"Basketball Diaries, The (1995)",Drama,3.642857142857143
"Awfully Big Adventure, An (1995)",Drama,4.0
Amateur (1994),Crime|Drama|Thriller,4.333333333333333
Apollo 13 (1995),Adventure|Drama|IMAX,3.9025
Rob Roy (1995),Action|Drama|Romance|War,3.5625
"Addiction, The (1995)",Drama|Horror,3.8333333333333335
Batman Forever (1995),Action|Adventure|Comedy|Crime,2.7829457364341086
Beauty of the Day (Belle de jour) (1967),Drama,3.8125
Beyond Rangoon (1995),Adventure|Drama|War,3.0555555555555554
Blue in the Face (1995),Comedy|Drama,3.9545454545454546
Canadian Bacon (1995),Comedy|War,2.375
Casper (1995),Adventure|Children,2.8706896551724137
Clockers (1995),Crime|Drama|Mystery,3.9375
Congo (1995),Action|Adventure|Mystery|Sci-Fi,2.3412698412698414
Crimson Tide (1995),Drama|Thriller|War,3.83125
Crumb (1994),Documentary,4.136363636363637
Desperado (1995),Action|Romance|Western,3.515873015873016
Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,3.5576923076923075
Die Hard: With a Vengeance (1995),Action|Crime|Thriller,3.443661971830986
"Doom Generation, The (1995)",Comedy|Crime|Drama,3.0
Feast of July (1995),Drama,4.0
First Knight (1995),Action|Drama|Romance,3.116279069767442
Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama,2.5625
Hackers (1995),Action|Adventure|Crime|Thriller,3.2884615384615383
Jeffrey (1995),Comedy|Drama,4.333333333333333
Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,2.5729166666666665
Judge Dredd (1995),Action|Crime|Sci-Fi,2.5642857142857145
Jury Duty (1995),Comedy,2.25
Kids (1995),Drama,3.9565217391304346
Living in Oblivion (1995),Comedy,3.7777777777777777
Lord of Illusions (1995),Horror,2.8846153846153846
Love & Human Remains (1993),Comedy|Drama,4.7
Mad Love (1995),Drama|Romance,3.5
Mallrats (1995),Comedy|Romance,3.3068181818181817
Mighty Morphin Power Rangers: The Movie (1995),Action|Children,1.8
Mute Witness (1994),Comedy|Horror|Thriller,5.0
Nadja (1994),Drama,4.5
"Net, The (1995)",Action|Crime|Thriller,3.1029411764705883
Nine Months (1995),Comedy|Romance,2.875
Party Girl (1995),Comedy,2.8333333333333335
"Prophecy, The (1995)",Fantasy|Horror|Mystery,3.125
Reckless (1995),Comedy|Fantasy,4.0
Safe (1995),Thriller,3.8333333333333335
"Scarlet Letter, The (1995)",Drama|Romance,3.0
Showgirls (1995),Drama,2.3142857142857145
Smoke (1995),Comedy|Drama,4.291666666666667
Something to Talk About (1995),Comedy|Drama|Romance,3.2142857142857144
Species (1995),Horror|Sci-Fi,2.809090909090909
Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller,3.441860465116279
"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical|Romance,3.3333333333333335
"Tie That Binds, The (1995)",Thriller,4.0
Three Wishes (1995),Drama|Fantasy,4.0
Total Eclipse (1995),Drama|Romance,3.0
"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy,3.3043478260869565
Under Siege 2: Dark Territory (1995),Action,3.0
Unstrung Heroes (1995),Comedy|Drama,4.0
Unzipped (1995),Documentary,3.6
"Walk in the Clouds, A (1995)",Drama|Romance,3.375
Waterworld (1995),Action|Adventure|Sci-Fi,2.752212389380531
White Man's Burden (1995),Drama,2.6
"Browning Version, The (1994)",Drama,3.3333333333333335
Burnt by the Sun (Utomlyonnye solntsem) (1994),Drama,4.222222222222222
Before the Rain (Pred dozhdot) (1994),Drama|War,3.0
Before Sunrise (1995),Drama|Romance,3.7222222222222223
Billy Madison (1995),Comedy,3.0238095238095237
"Babysitter, The (1995)",Drama|Thriller,2.7142857142857144
Boys on the Side (1995),Comedy|Drama,3.3333333333333335
"Cure, The (1995)",Drama,4.25
Castle Freak (1995),Horror,3.0
Circle of Friends (1995),Drama|Romance,3.9318181818181817
Clerks (1994),Comedy,3.963302752293578
Don Juan DeMarco (1995),Comedy|Drama|Romance,3.6
Disclosure (1994),Drama|Thriller,3.173076923076923
Drop Zone (1994),Action|Thriller,3.15625
Destiny Turns on the Radio (1995),Comedy,2.0
Death and the Maiden (1994),Drama|Thriller,4.083333333333333
Dolores Claiborne (1995),Drama|Thriller,3.7
Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy,3.1107594936708862
Eat Drink Man Woman (Yin shi nan nu) (1994),Comedy|Drama|Romance,4.208333333333333
Exotica (1994),Drama,4.269230769230769
Exit to Eden (1994),Comedy,2.75
Ed Wood (1994),Comedy|Drama,3.9038461538461537
French Kiss (1995),Action|Comedy|Romance,3.3583333333333334
Forget Paris (1995),Comedy|Romance,3.1911764705882355
Far From Home: The Adventures of Yellow Dog (1995),Adventure|Children,3.0
"Goofy Movie, A (1995)",Animation|Children|Comedy|Romance,2.933333333333333
Hideaway (1995),Thriller,3.4
Fluke (1995),Children|Drama,3.5
Farinelli: il castrato (1994),Drama|Musical,3.75
Gordy (1995),Children|Comedy|Fantasy,4.0
Gumby: The Movie (1995),Animation|Children,3.0
The Glass Shield (1994),Crime|Drama,3.0
Hoop Dreams (1994),Documentary,4.040983606557377
Heavenly Creatures (1994),Crime|Drama,3.6511627906976742
Houseguest (1994),Comedy,3.1538461538461537
Immortal Beloved (1994),Drama|Romance,3.375
Heavyweights (Heavy Weights) (1995),Children|Comedy,3.25
"Hunted, The (1995)",Action,3.0
I.Q. (1994),Comedy|Romance,3.0609756097560976
Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror,3.396
Jefferson in Paris (1995),Drama,3.0
"Jerky Boys, The (1995)",Comedy,2.2
Junior (1994),Comedy|Sci-Fi,2.7023809523809526
Just Cause (1995),Mystery|Thriller,3.576923076923077
"Kid in King Arthur's Court, A (1995)",Adventure|Children|Comedy|Fantasy|Romance,2.5
Kiss of Death (1995),Crime|Drama|Thriller,3.7
Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi,4.221649484536083
Little Women (1994),Drama,3.715686274509804
"Little Princess, A (1995)",Children|Drama,3.85
Ladybird Ladybird (1994),Drama,3.0
"Enfer, L' (1994)",Drama,4.5
Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Fantasy|Romance,3.879032258064516
Legends of the Fall (1994),Drama|Romance|War|Western,3.4863013698630136
Major Payne (1995),Comedy,2.730769230769231
Little Odessa (1994),Crime|Drama,4.25
My Crazy Life (Mi vida loca) (1993),Drama,3.6666666666666665
Love Affair (1994),Drama|Romance,3.2222222222222223
Losing Isaiah (1995),Drama,3.5
"Madness of King George, The (1994)",Comedy|Drama,4.0
Mary Shelley's Frankenstein (Frankenstein) (1994),Drama|Horror|Sci-Fi,3.1296296296296298
Man of the House (1995),Comedy,2.6666666666666665
Mixed Nuts (1994),Comedy,2.8
Milk Money (1994),Comedy|Romance,2.8636363636363638
Miracle on 34th Street (1994),Drama,3.357142857142857
Miami Rhapsody (1995),Comedy,3.0
My Family (1995),Drama,2.875
Murder in the First (1995),Drama|Thriller,4.113636363636363
Nobody's Fool (1994),Comedy|Drama|Romance,3.861111111111111
Nell (1994),Drama,3.284090909090909
New Jersey Drive (1995),Crime|Drama,3.0
Beyond Bedlam (1993),Drama|Horror,4.0
Nina Takes a Lover (1994),Comedy|Romance,3.2
Natural Born Killers (1994),Action|Crime|Thriller,3.336448598130841
Only You (1994),Comedy|Romance,3.4642857142857144
Once Were Warriors (1994),Crime|Drama,3.9375
Poison Ivy II (1996),Drama|Thriller,2.0
Outbreak (1995),Action|Drama|Sci-Fi|Thriller,3.309090909090909
Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller,4.071969696969697
"Perez Family, The (1995)",Comedy|Romance,3.3333333333333335
"Pyromaniac's Love Story, A (1995)",Comedy|Romance,3.0
Pulp Fiction (1994),Comedy|Crime|Drama|Thriller,4.256172839506172
Priest (1994),Drama,3.75
Quiz Show (1994),Drama,3.75
Picture Bride (Bijo photo) (1994),Drama|Romance,5.0
"Queen Margot (Reine Margot, La) (1994)",Drama|Romance,3.7142857142857144
"Quick and the Dead, The (1995)",Action|Thriller|Western,3.1875
Roommates (1995),Comedy|Drama,3.3333333333333335
Ready to Wear (Pret-A-Porter) (1994),Comedy,2.75
Three Colors: Red (Trois couleurs: Rouge) (1994),Drama,4.171875
Three Colors: Blue (Trois couleurs: Bleu) (1993),Drama,4.145161290322581
Three Colors: White (Trzy kolory: Bialy) (1994),Comedy|Drama,4.159090909090909
"Red Firecracker, Green Firecracker (Pao Da Shuang Deng) (1994)",Drama,5.0
Stuart Saves His Family (1995),Comedy,3.6
"Swan Princess, The (1994)",Animation|Children,2.7142857142857144
"Secret of Roan Inish, The (1994)",Children|Drama|Fantasy|Mystery,3.9411764705882355
"Specialist, The (1994)",Action|Drama|Thriller,2.909090909090909
Stargate (1994),Action|Adventure|Sci-Fi,3.3689655172413793
"Santa Clause, The (1994)",Comedy|Drama|Fantasy,2.9642857142857144
"Shawshank Redemption, The (1994)",Crime|Drama,4.487138263665595
Shallow Grave (1994),Comedy|Drama|Thriller,3.973684210526316
Suture (1993),Film-Noir|Thriller,2.75
Strawberry and Chocolate (Fresa y chocolate) (1993),Drama,3.642857142857143
Swimming with Sharks (1995),Comedy|Drama,3.642857142857143
"Sum of Us, The (1994)",Comedy|Drama,3.3333333333333335
National Lampoon's Senior Trip (1995),Comedy,3.0
To Live (Huozhe) (1994),Drama,4.071428571428571
Tank Girl (1995),Action|Comedy|Sci-Fi,2.75
Tales from the Crypt Presents: Demon Knight (1995),Horror|Thriller,3.625
Star Trek: Generations (1994),Adventure|Drama|Sci-Fi,3.3508771929824563
Tales from the Hood (1995),Action|Crime|Horror,2.7
Tom & Viv (1994),Drama,3.0
Village of the Damned (1995),Horror|Sci-Fi,3.2
Tommy Boy (1995),Comedy,3.32
Vanya on 42nd Street (1994),Drama,3.0714285714285716
Underneath (1995),Mystery|Thriller,3.0
"Walking Dead, The (1995)",Drama|War,3.0
What's Eating Gilbert Grape (1993),Drama,3.7954545454545454
Virtuosity (1995),Action|Sci-Fi|Thriller,2.8
While You Were Sleeping (1995),Comedy|Romance,3.4405940594059405
"War, The (1994)",Adventure|Drama|War,3.0
Double Happiness (1994),Drama,4.5
Muriel's Wedding (1994),Comedy,3.4375
"Baby-Sitters Club, The (1995)",Children,3.0
Ace Ventura: Pet Detective (1994),Comedy,2.8714285714285714
"Adventures of Priscilla, Queen of the Desert, The (1994)",Comedy|Drama,3.75
Backbeat (1993),Drama|Musical,3.0
Bitter Moon (1992),Drama|Film-Noir|Romance,3.857142857142857
Bullets Over Broadway (1994),Comedy,3.9375
Clear and Present Danger (1994),Action|Crime|Drama|Thriller,3.7869565217391306
"Client, The (1994)",Drama|Mystery|Thriller,3.3285714285714287
"Corrina, Corrina (1994)",Comedy|Drama|Romance,3.1923076923076925
Crooklyn (1994),Comedy|Drama,3.357142857142857
"Crow, The (1994)",Action|Crime|Fantasy|Thriller,3.58955223880597
Cobb (1994),Drama,3.5
"Flintstones, The (1994)",Children|Comedy|Fantasy,2.2051282051282053
Forrest Gump (1994),Comedy|Drama|Romance|War,4.05425219941349
Four Weddings and a Funeral (1994),Comedy|Romance,3.6844262295081966
Higher Learning (1995),Drama,2.4285714285714284
I Love Trouble (1994),Action|Comedy,2.5
It Could Happen to You (1994),Comedy|Drama|Romance,3.38
"Jungle Book, The (1994)",Adventure|Children|Romance,3.45
"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993)",Documentary,4.5
"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX,3.7775
Little Buddha (1993),Drama,3.0
"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)",Drama|Horror|Mystery|Thriller,3.272727272727273
"Mask, The (1994)",Action|Comedy|Crime|Fantasy,3.070063694267516
Maverick (1994),Adventure|Comedy|Western,3.535211267605634
Mrs. Parker and the Vicious Circle (1994),Drama,3.0555555555555554
Naked Gun 33 1/3: The Final Insult (1994),Action|Comedy,3.0522388059701493
"Paper, The (1994)",Comedy|Drama,3.25
Reality Bites (1994),Comedy|Drama|Romance,3.0588235294117645
Red Rock West (1992),Thriller,4.138888888888889
Richie Rich (1994),Children|Comedy,2.1
Safe Passage (1994),Drama,3.6666666666666665
"River Wild, The (1994)",Action|Thriller,3.425531914893617
Speed (1994),Action|Romance|Thriller,3.566666666666667
Speechless (1994),Comedy|Romance,3.25
Timecop (1994),Action|Sci-Fi|Thriller,3.261904761904762
True Lies (1994),Action|Adventure|Comedy|Romance|Thriller,3.515151515151515
When a Man Loves a Woman (1994),Drama|Romance,3.1379310344827585
Wolf (1994),Drama|Horror|Romance|Thriller,3.1052631578947367
Wyatt Earp (1994),Western,3.1153846153846154
Bad Company (1995),Action|Crime|Drama,3.25
"Low Down Dirty Shame, A (1994)",Action|Comedy,3.6666666666666665
Boys Life (1995),Drama,3.6666666666666665
"Colonel Chabert, Le (1994)",Drama|Romance|War,4.0
Faster Pussycat! Kill! Kill! (1965),Action|Crime|Drama,4.1
Jason's Lyric (1994),Crime|Drama,3.0
"Secret Adventures of Tom Thumb, The (1993)",Adventure|Animation,2.6666666666666665
Street Fighter (1994),Action|Adventure|Fantasy,2.1
Mirage (1995),Action|Thriller,4.0
Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994),Action|Fantasy,2.3125
In the Mouth of Madness (1995),Horror|Thriller,3.05
8 Seconds (1994),Drama,3.0
Above the Rim (1994),Crime|Drama,2.5
Addams Family Values (1993),Children|Comedy|Fantasy,3.1506849315068495
"Age of Innocence, The (1993)",Drama,3.54
Airheads (1994),Comedy,2.3076923076923075
"Air Up There, The (1994)",Comedy,2.5
Another Stakeout (1993),Comedy|Thriller,2.8333333333333335
Bad Girls (1994),Western,3.25
Barcelona (1994),Comedy|Romance,3.6153846153846154
Being Human (1993),Drama,3.0
"Beverly Hillbillies, The (1993)",Comedy,2.6
Beverly Hills Cop III (1994),Action|Comedy|Crime|Thriller,2.6315789473684212
Black Beauty (1994),Adventure|Children|Drama,3.0
Blink (1994),Thriller,3.7222222222222223
Blown Away (1994),Action|Thriller,3.392857142857143
Blue Chips (1994),Drama,3.0
Blue Sky (1994),Drama|Romance,3.875
Body Snatchers (1993),Horror|Sci-Fi|Thriller,3.1666666666666665
Boxing Helena (1993),Drama|Mystery|Romance|Thriller,2.4285714285714284
"Bronx Tale, A (1993)",Drama,3.717391304347826
Cabin Boy (1994),Comedy,2.5555555555555554
Carlito's Way (1993),Crime|Drama,3.671875
City Slickers II: The Legend of Curly's Gold (1994),Adventure|Comedy|Western,2.6507936507936507
Clean Slate (1994),Comedy,2.857142857142857
Cliffhanger (1993),Action|Adventure|Thriller,3.0849056603773586
Coneheads (1993),Comedy|Sci-Fi,2.463636363636364
Color of Night (1994),Drama|Thriller,2.2
Cops and Robbersons (1994),Comedy,2.75
"Cowboy Way, The (1994)",Action|Comedy|Drama,3.0
Dangerous Game (1993),Drama,1.0
Dave (1993),Comedy|Romance,3.561111111111111
Dazed and Confused (1993),Comedy,3.6621621621621623
Demolition Man (1993),Action|Adventure|Sci-Fi,2.968421052631579
"Endless Summer 2, The (1994)",Adventure|Documentary,2.6666666666666665
Even Cowgirls Get the Blues (1993),Comedy|Romance,3.0
Fatal Instinct (1993),Comedy,3.111111111111111
Farewell My Concubine (Ba wang bie ji) (1993),Drama|Romance,4.0
"Favor, The (1994)",Comedy|Romance,4.0
Fearless (1993),Drama,3.590909090909091
Fear of a Black Hat (1994),Comedy,3.5
With Honors (1994),Comedy|Drama,3.4375
Flesh and Bone (1993),Drama|Mystery|Romance,3.4285714285714284
Widows' Peak (1994),Drama,4.0
For Love or Money (1993),Comedy|Romance,2.4
"Firm, The (1993)",Drama|Thriller,3.4727272727272727
Free Willy (1993),Adventure|Children|Drama,2.838709677419355
Fresh (1994),Crime|Drama|Thriller,3.3333333333333335
"Fugitive, The (1993)",Thriller,3.9530516431924885
Geronimo: An American Legend (1993),Drama|Western,3.75
"Getaway, The (1994)",Action|Adventure|Crime|Drama|Romance|Thriller,3.5
Getting Even with Dad (1994),Comedy,2.5
Go Fish (1994),Drama|Romance,3.3
Guilty as Sin (1993),Crime|Drama|Thriller,3.4285714285714284
Hard Target (1993),Action|Adventure|Crime|Thriller,3.111111111111111
Heaven & Earth (1993),Action|Drama|War,3.5
Hot Shots! Part Deux (1993),Action|Comedy|War,3.169491525423729
Live Nude Girls (1995),Comedy,3.3333333333333335
"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)",Comedy|Romance,3.303030303030303
"House of the Spirits, The (1993)",Drama|Romance,3.125
House Party 3 (1994),Comedy,2.0
"Hudsucker Proxy, The (1994)",Comedy,3.877551020408163
I'll Do Anything (1994),Comedy|Drama,3.5
In the Army Now (1994),Comedy|War,1.0
In the Line of Fire (1993),Action|Thriller,3.8625
In the Name of the Father (1993),Drama,4.209677419354839
"Inkwell, The (1994)",Comedy|Drama,4.0
What's Love Got to Do with It? (1993),Drama|Musical,3.59375
Judgment Night (1993),Action|Crime|Thriller,3.25
Jurassic Park (1993),Action|Adventure|Sci-Fi|Thriller,3.7062043795620436
Kalifornia (1993),Drama|Thriller,3.34375
Killing Zoe (1994),Crime|Drama|Thriller,2.85
King of the Hill (1993),Drama,2.75
Lassie (1994),Adventure|Children,2.75
Last Action Hero (1993),Action|Adventure|Comedy|Fantasy,2.8867924528301887
Life with Mikey (1993),Comedy,2.5
Lightning Jack (1994),Comedy|Western,3.5
M. Butterfly (1993),Drama|Romance,3.125
Made in America (1993),Comedy,2.625
Malice (1993),Thriller,3.4285714285714284
"Man Without a Face, The (1993)",Drama,3.2857142857142856
Manhattan Murder Mystery (1993),Comedy|Mystery,3.738095238095238
Menace II Society (1993),Action|Crime|Drama,3.3043478260869565
Executive Decision (1996),Action|Adventure|Thriller,3.4754098360655736
In the Realm of the Senses (Ai no corrida) (1976),Drama,3.8125
What Happened Was... (1994),Comedy|Drama|Romance|Thriller,2.6666666666666665
Much Ado About Nothing (1993),Comedy|Romance,3.9833333333333334
Mr. Jones (1993),Drama|Romance,2.6666666666666665
Mr. Wonderful (1993),Comedy|Romance,3.0
Mrs. Doubtfire (1993),Comedy|Drama,3.4673202614379086
Naked (1993),Drama,4.1
"Next Karate Kid, The (1994)",Action|Children|Romance,2.4375
No Escape (1994),Action|Drama|Sci-Fi,3.2
North (1994),Comedy,2.7142857142857144
Orlando (1992),Drama|Fantasy|Romance,3.111111111111111
"Perfect World, A (1993)",Crime|Drama|Thriller,3.5
Philadelphia (1993),Drama,3.6686046511627906
"Piano, The (1993)",Drama|Romance,3.75
Poetic Justice (1993),Drama,2.3
"Program, The (1993)",Action|Drama,3.0
"Puppet Masters, The (1994)",Horror|Sci-Fi,3.5
Radioland Murders (1994),Comedy|Mystery|Romance,2.5
"Ref, The (1994)",Comedy,3.6470588235294117
"Remains of the Day, The (1993)",Drama|Romance,4.043478260869565
Renaissance Man (1994),Comedy|Drama,2.923076923076923
Rising Sun (1993),Action|Drama|Mystery,3.09375
"Road to Wellville, The (1994)",Comedy,2.1363636363636362
RoboCop 3 (1993),Action|Crime|Drama|Sci-Fi|Thriller,2.3958333333333335
Robin Hood: Men in Tights (1993),Comedy,3.0615384615384613
Romeo Is Bleeding (1993),Crime|Thriller,3.6
Romper Stomper (1992),Action|Drama,2.8333333333333335
Ruby in Paradise (1993),Drama,3.3333333333333335
Rudy (1993),Drama,3.5555555555555554
"Savage Nights (Nuits fauves, Les) (1992)",Drama,1.0
Schindler's List (1993),Drama|War,4.30327868852459
"Scout, The (1994)",Comedy|Drama,2.5
Searching for Bobby Fischer (1993),Drama,3.933333333333333
"Secret Garden, The (1993)",Children|Drama,3.564516129032258
Serial Mom (1994),Comedy|Crime|Horror,3.25
"Shadow, The (1994)",Action|Adventure|Fantasy|Mystery,3.3333333333333335
Shadowlands (1993),Drama|Romance,4.2
Short Cuts (1993),Drama,3.8846153846153846
"Simple Twist of Fate, A (1994)",Drama,2.25
Sirens (1994),Drama,3.05
Six Degrees of Separation (1993),Drama,3.9
Sleepless in Seattle (1993),Comedy|Drama|Romance,3.428
Sliver (1993),Thriller,2.6944444444444446
Blade Runner (1982),Action|Sci-Fi|Thriller,4.037671232876712
